admin.customer.level.UpdateSuccessful,Customer Level Updated,1
admin.customer.LocaleSetting,Locale Setting,1
admin.customer.ManuallySetPassword,Manually Set Password,1
admin.customer.Notes,Notes:,1
admin.customer.OKToEmail,OK To e-mail:,1
admin.customer.Over13,Over 13:,1
admin.customer.Password,*Password:,1
admin.customer.passwordResetEmailFailed,"Password was reset, however the e-mail could not be sent. You will need to contact the customer to provide their new password. Refer to the system log for more information.",1
admin.customer.passwordResetError,Error: The password could not be reset.  See the system log for more information.,1
admin.customer.passwordResetSuccessful,Password was reset successfully and the customer has been e-mailed the new password.,1
admin.customer.PasswordValidationFailed,Error: Password must be at least 5 characters long,1
admin.customer.Phone,Phone:,1
admin.customer.PrimaryBillingAddress,Primary Billing Address,1
admin.customer.PrimaryShippingAddress,Primary Shipping Address,1
admin.customer.ResetPassword,Reset Password:,1
admin.customer.ResetToRandomPassword,Reset To Random Password,1
admin.customer.SetPassword,Set Password:,1
admin.customer.tooltip.anonymizecustomer,Customer will be anonymized.  This operation is not reversible.,1
admin.customer.tooltip.ResetPassword,Reset to random password and send email to customer.,1
admin.customer.tooltip.SetPassword,Reset to defined password and send email to customer.,1
admin.customer.UnBanIP,Unban This IP Address,1
admin.customer.UnDeleteTooltip,Un-Delete Contact,1
admin.customer.VATRegistrationID,VAT Registration ID:,1
admin.customer.VATValidationFailed,Error: This does not appear to be a valid VAT Registration ID,1
admin.customerlevel.AddToLevel,Add to Level,1
admin.customerlevel.AlreadyExistsInLevel,Customer Already Belongs to Customer Level,1
admin.customerlevel.CustomerAdded,Customer Added to Customer Level,1
admin.customerlevel.EnterCustomerInfo,Enter CustomerID or e-mail to add to level,1
admin.customerlevel.IdOrEmailRequired,Customer ID or e-mail is Required,1
admin.customerlevel.NotInDatabase,Customer does not Exist or has been Deleted,1
admin.customerlevel.RemovedFromLevel,Customer has been Removed from Level,1
admin.customerlevel.RemoveFromLevel,Remove from Level,1
admin.CustomerLevelgrid.UnDeleted,Has Been Un-Deleted,1
admin.customerlevels.CustomerLevelId,Customer Level ID,1
admin.customerlevels.DeleteCustomerLevel,Are you sure you want to delete Customer Level:,1
admin.customerlevels.Name,Customer Level Name,1
admin.customerlevels.ViewCustomerLevel,View Customers Of This Level,1
admin.customerremoval.anonymize,Anonymize,1
admin.customerremoval.createdate,Created,1
admin.customerremoval.dataretention.notenabled.message,"Data Retention is not enabled. To enable, set the Setting 'DataRetentionPolicies.Enabled' to true.",1
admin.customerremoval.requestdate,Requested,1
admin.dashboard.AcceptPayPal,Accept PayPal,1
admin.dashboard.ActivePromotions,Active Promotions,1
admin.dashboard.CompletedOrders,Completed Orders,1
admin.dashboard.Contacts,Contacts,1
admin.dashboard.Customers,Customers,1
admin.dashboard.header,Dashboard,1
admin.dashboard.News,Hints and Tips,1
admin.dashboard.PublishedProducts,Published Products,1
admin.dashboard.QuickLook,Quick Look,1
admin.dashboard.Version,Version,1
admin.databasemaintenance.anonymizeinactivecustomers,Purge aged user data,1
admin.databasemaintenance.CleanupLocalizationData,Clear old localization data,1
admin.databasemaintenance.CleanupSecurityLog, Clear old Security Log entries,1
admin.databasemaintenance.ClearAll,Clear All Regardless of Date,1
admin.databasemaintenance.ClearAllShoppingCarts,Clear Shopping Carts Older Than,1
admin.databasemaintenance.ClearAllWishlists,Clear Wishlists Older Than,1
admin.databasemaintenance.ClearProfiles,Clear Profiles Older Than:,1
admin.databasemaintenance.ClearRTShippingData,Clear RT Shipping Request/Response Older Than:,1
admin.databasemaintenance.ClearSearchLog,Clear Search Logs Older Than:,1
admin.databasemaintenance.ClearViews,Clear Product Views Older Than:,1
admin.databasemaintenance.Done,We're Done!,1
admin.databasemaintenance.EraseCCInfo,Erase Credit Cards/eCheck from Order records,1
admin.databasemaintenance.EraseCCInfoFromAddress,Erase Credit Cards/eCheck from Address records,1
admin.databasemaintenance.Finished,When maintenance is finished running all users will be logged out (including you) and you will be redirected to the signin page.,1
admin.databasemaintenance.Info,"Running this maintenance process will log out all users from the admin site, including the user running the maintenance",1
admin.databasemaintenance.LeaveUnchanged,Leave Unchanged,1
admin.databasemaintenance.maintenancerunning,Database Maintenance Running,1
admin.databasemaintenance.MoreThan120,>120 Days old,1
admin.databasemaintenance.MoreThan150,>150 Days old,1
admin.databasemaintenance.MoreThan180,>180 Days old,1
admin.databasemaintenance.MoreThan30,>30 Days old,1
admin.databasemaintenance.MoreThan60,>60 Days old,1
admin.databasemaintenance.MoreThan90,>90 Days old,1
